time,站點,人次
2018-12-01 00:00:00,七張,61
2018-12-01 00:00:00,三和國中,62
2018-12-01 00:00:00,三民高中,49
2018-12-01 00:00:00,三重,62
2018-12-01 00:00:00,三重國小,84
2018-12-01 00:00:00,中山,603
2018-12-01 00:00:00,中山國中,91
2018-12-01 00:00:00,中山國小,216
2018-12-01 00:00:00,中正紀念堂,173
2018-12-01 00:00:00,丹鳳,39
2018-12-01 00:00:00,亞東醫院,102
2018-12-01 00:00:00,信義安和,297
2018-12-01 00:00:00,先嗇宮,24
2018-12-01 00:00:00,內湖,41
2018-12-01 00:00:00,公館,398
2018-12-01 00:00:00,六張犁,137
2018-12-01 00:00:00,劍南路,193
2018-12-01 00:00:00,劍潭,961
2018-12-01 00:00:00,動物園,23
2018-12-01 00:00:00,北投,94
2018-12-01 00:00:00,北門,101
2018-12-01 00:00:00,南京三民,157
2018-12-01 00:00:00,南京復興,362
2018-12-01 00:00:00,南勢角,126
2018-12-01 00:00:00,南港,137
2018-12-01 00:00:00,南港展覽館,94
2018-12-01 00:00:00,南港軟體園區,8
2018-12-01 00:00:00,古亭,242
2018-12-01 00:00:00,台北101/世貿,368
2018-12-01 00:00:00,台北小巨蛋,177
2018-12-01 00:00:00,台北橋,122
2018-12-01 00:00:00,台北車站,2173
2018-12-01 00:00:00,台大醫院,130
2018-12-01 00:00:00,台電大樓,227
2018-12-01 00:00:00,唭哩岸,38
2018-12-01 00:00:00,善導寺,142
2018-12-01 00:00:00,國父紀念館,334
2018-12-01 00:00:00,圓山,206
2018-12-01 00:00:00,土城,16
2018-12-01 00:00:00,士林,226
2018-12-01 00:00:00,大坪林,91
2018-12-01 00:00:00,大安,178
2018-12-01 00:00:00,大安森林公園,67
2018-12-01 00:00:00,大橋頭站,112
2018-12-01 00:00:00,大湖公園,19
2018-12-01 00:00:00,大直,67
2018-12-01 00:00:00,奇岩,119
2018-12-01 00:00:00,小南門,27
2018-12-01 00:00:00,小碧潭,3
2018-12-01 00:00:00,市政府,846
2018-12-01 00:00:00,府中,302
2018-12-01 00:00:00,後山埤,111
2018-12-01 00:00:00,徐匯中學,63
2018-12-01 00:00:00,復興崗,17
2018-12-01 00:00:00,忠孝復興,682
2018-12-01 00:00:00,忠孝敦化,756
2018-12-01 00:00:00,忠孝新生,469
2018-12-01 00:00:00,忠義,9
2018-12-01 00:00:00,文德,23
2018-12-01 00:00:00,新北投,29
2018-12-01 00:00:00,新埔,182
2018-12-01 00:00:00,新店,42
2018-12-01 00:00:00,新店區公所,42
2018-12-01 00:00:00,新莊,70
2018-12-01 00:00:00,昆陽,51
2018-12-01 00:00:00,明德,32
2018-12-01 00:00:00,景安,85
2018-12-01 00:00:00,景美,98
2018-12-01 00:00:00,木柵,13
2018-12-01 00:00:00,東湖,31
2018-12-01 00:00:00,東門,182
2018-12-01 00:00:00,松山,387
2018-12-01 00:00:00,松山機場,11
2018-12-01 00:00:00,松江南京,322
2018-12-01 00:00:00,板橋,1028
2018-12-01 00:00:00,民權西路,242
2018-12-01 00:00:00,永安市場,131
2018-12-01 00:00:00,永寧,39
2018-12-01 00:00:00,永春,114
2018-12-01 00:00:00,江子翠,120
2018-12-01 00:00:00,海山,73
2018-12-01 00:00:00,淡水,261
2018-12-01 00:00:00,港墘,71
2018-12-01 00:00:00,石牌,158
2018-12-01 00:00:00,科技大樓,81
2018-12-01 00:00:00,竹圍,40
2018-12-01 00:00:00,紅樹林,35
2018-12-01 00:00:00,芝山,279
2018-12-01 00:00:00,菜寮,45
2018-12-01 00:00:00,萬芳社區,25
2018-12-01 00:00:00,萬芳醫院,39
2018-12-01 00:00:00,萬隆,49
2018-12-01 00:00:00,葫洲,21
2018-12-01 00:00:00,蘆洲,46
2018-12-01 00:00:00,行天宮,221
2018-12-01 00:00:00,西湖,81
2018-12-01 00:00:00,西門,1790
2018-12-01 00:00:00,象山,168
2018-12-01 00:00:00,輔大,75
2018-12-01 00:00:00,辛亥,6
2018-12-01 00:00:00,迴龍,37
2018-12-01 00:00:00,關渡,48
2018-12-01 00:00:00,雙連,284
2018-12-01 00:00:00,頂埔,23
2018-12-01 00:00:00,頂溪,220
2018-12-01 00:00:00,頭前庄,44
2018-12-01 00:00:00,麟光,24
2018-12-01 00:00:00,龍山寺,318
2018-12-01 01:00:00,七張,0
2018-12-01 01:00:00,三和國中,0
2018-12-01 01:00:00,三民高中,0
2018-12-01 01:00:00,三重,2
2018-12-01 01:00:00,三重國小,0
2018-12-01 01:00:00,中山,22
2018-12-01 01:00:00,中山國中,1
2018-12-01 01:00:00,中山國小,8
2018-12-01 01:00:00,中正紀念堂,5
2018-12-01 01:00:00,丹鳳,0
2018-12-01 01:00:00,亞東醫院,2
2018-12-01 01:00:00,信義安和,1
2018-12-01 01:00:00,先嗇宮,0
2018-12-01 01:00:00,內湖,1
2018-12-01 01:00:00,公館,13
2018-12-01 01:00:00,六張犁,2
2018-12-01 01:00:00,劍南路,7
2018-12-01 01:00:00,劍潭,23
2018-12-01 01:00:00,動物園,0
2018-12-01 01:00:00,北投,2
2018-12-01 01:00:00,北門,2
2018-12-01 01:00:00,南京三民,1
2018-12-01 01:00:00,南京復興,9
2018-12-01 01:00:00,南勢角,1
2018-12-01 01:00:00,南港,2
2018-12-01 01:00:00,南港展覽館,0
2018-12-01 01:00:00,南港軟體園區,0
2018-12-01 01:00:00,古亭,6
2018-12-01 01:00:00,台北101/世貿,2
2018-12-01 01:00:00,台北小巨蛋,2
2018-12-01 01:00:00,台北橋,5
2018-12-01 01:00:00,台北車站,36
2018-12-01 01:00:00,台大醫院,9
2018-12-01 01:00:00,台電大樓,2
2018-12-01 01:00:00,唭哩岸,2
2018-12-01 01:00:00,善導寺,6
2018-12-01 01:00:00,國父紀念館,2
2018-12-01 01:00:00,圓山,4
2018-12-01 01:00:00,土城,0
2018-12-01 01:00:00,士林,9
2018-12-01 01:00:00,大坪林,0
2018-12-01 01:00:00,大安,3
2018-12-01 01:00:00,大安森林公園,2
2018-12-01 01:00:00,大橋頭站,2
2018-12-01 01:00:00,大湖公園,0
2018-12-01 01:00:00,大直,3
2018-12-01 01:00:00,奇岩,1
2018-12-01 01:00:00,小南門,1
2018-12-01 01:00:00,小碧潭,0
2018-12-01 01:00:00,市政府,10
2018-12-01 01:00:00,府中,8
