time,站點,人次
2018-12-01 00:00:00,七張,252
2018-12-01 00:00:00,三和國中,276
2018-12-01 00:00:00,三民高中,330
2018-12-01 00:00:00,三重,95
2018-12-01 00:00:00,三重國小,197
2018-12-01 00:00:00,中山,205
2018-12-01 00:00:00,中山國中,129
2018-12-01 00:00:00,中山國小,185
2018-12-01 00:00:00,中正紀念堂,119
2018-12-01 00:00:00,丹鳳,239
2018-12-01 00:00:00,亞東醫院,279
2018-12-01 00:00:00,信義安和,178
2018-12-01 00:00:00,先嗇宮,35
2018-12-01 00:00:00,內湖,134
2018-12-01 00:00:00,公館,346
2018-12-01 00:00:00,六張犁,106
2018-12-01 00:00:00,劍南路,74
2018-12-01 00:00:00,劍潭,328
2018-12-01 00:00:00,動物園,120
2018-12-01 00:00:00,北投,270
2018-12-01 00:00:00,北門,71
2018-12-01 00:00:00,南京三民,185
2018-12-01 00:00:00,南京復興,165
2018-12-01 00:00:00,南勢角,449
2018-12-01 00:00:00,南港,102
2018-12-01 00:00:00,南港展覽館,398
2018-12-01 00:00:00,南港軟體園區,7
2018-12-01 00:00:00,古亭,296
2018-12-01 00:00:00,台北101/世貿,241
2018-12-01 00:00:00,台北小巨蛋,104
2018-12-01 00:00:00,台北橋,160
2018-12-01 00:00:00,台北車站,447
2018-12-01 00:00:00,台大醫院,36
2018-12-01 00:00:00,台電大樓,203
2018-12-01 00:00:00,唭哩岸,116
2018-12-01 00:00:00,善導寺,78
2018-12-01 00:00:00,國父紀念館,98
2018-12-01 00:00:00,圓山,183
2018-12-01 00:00:00,土城,118
2018-12-01 00:00:00,士林,218
2018-12-01 00:00:00,大坪林,264
2018-12-01 00:00:00,大安,153
2018-12-01 00:00:00,大安森林公園,69
2018-12-01 00:00:00,大橋頭站,102
2018-12-01 00:00:00,大湖公園,41
2018-12-01 00:00:00,大直,101
2018-12-01 00:00:00,奇岩,80
2018-12-01 00:00:00,小南門,36
2018-12-01 00:00:00,小碧潭,22
2018-12-01 00:00:00,市政府,204
2018-12-01 00:00:00,府中,457
2018-12-01 00:00:00,後山埤,182
2018-12-01 00:00:00,徐匯中學,224
2018-12-01 00:00:00,復興崗,70
2018-12-01 00:00:00,忠孝復興,215
2018-12-01 00:00:00,忠孝敦化,212
2018-12-01 00:00:00,忠孝新生,137
2018-12-01 00:00:00,忠義,28
2018-12-01 00:00:00,文德,62
2018-12-01 00:00:00,新北投,40
2018-12-01 00:00:00,新埔,495
2018-12-01 00:00:00,新店,173
2018-12-01 00:00:00,新店區公所,220
2018-12-01 00:00:00,新莊,232
2018-12-01 00:00:00,昆陽,162
2018-12-01 00:00:00,明德,181
2018-12-01 00:00:00,景安,393
2018-12-01 00:00:00,景美,232
2018-12-01 00:00:00,木柵,61
2018-12-01 00:00:00,東湖,119
2018-12-01 00:00:00,東門,184
2018-12-01 00:00:00,松山,168
2018-12-01 00:00:00,松山機場,15
2018-12-01 00:00:00,松江南京,145
2018-12-01 00:00:00,板橋,428
2018-12-01 00:00:00,民權西路,198
2018-12-01 00:00:00,永安市場,413
2018-12-01 00:00:00,永寧,132
2018-12-01 00:00:00,永春,228
2018-12-01 00:00:00,江子翠,356
2018-12-01 00:00:00,海山,445
2018-12-01 00:00:00,淡水,628
2018-12-01 00:00:00,港墘,123
2018-12-01 00:00:00,石牌,359
2018-12-01 00:00:00,科技大樓,106
2018-12-01 00:00:00,竹圍,189
2018-12-01 00:00:00,紅樹林,147
2018-12-01 00:00:00,芝山,267
2018-12-01 00:00:00,菜寮,145
2018-12-01 00:00:00,萬芳社區,42
2018-12-01 00:00:00,萬芳醫院,194
2018-12-01 00:00:00,萬隆,179
2018-12-01 00:00:00,葫洲,72
2018-12-01 00:00:00,蘆洲,246
2018-12-01 00:00:00,行天宮,121
2018-12-01 00:00:00,西湖,97
2018-12-01 00:00:00,西門,589
2018-12-01 00:00:00,象山,79
2018-12-01 00:00:00,輔大,204
2018-12-01 00:00:00,辛亥,46
2018-12-01 00:00:00,迴龍,260
2018-12-01 00:00:00,關渡,170
2018-12-01 00:00:00,雙連,174
2018-12-01 00:00:00,頂埔,192
2018-12-01 00:00:00,頂溪,568
2018-12-01 00:00:00,頭前庄,76
2018-12-01 00:00:00,麟光,70
2018-12-01 00:00:00,龍山寺,276
2018-12-01 01:00:00,七張,9
2018-12-01 01:00:00,三和國中,0
2018-12-01 01:00:00,三民高中,0
2018-12-01 01:00:00,三重,0
2018-12-01 01:00:00,三重國小,0
2018-12-01 01:00:00,中山,0
2018-12-01 01:00:00,中山國中,0
2018-12-01 01:00:00,中山國小,0
2018-12-01 01:00:00,中正紀念堂,0
2018-12-01 01:00:00,丹鳳,14
2018-12-01 01:00:00,亞東醫院,7
2018-12-01 01:00:00,信義安和,0
2018-12-01 01:00:00,先嗇宮,0
2018-12-01 01:00:00,內湖,8
2018-12-01 01:00:00,公館,0
2018-12-01 01:00:00,六張犁,0
2018-12-01 01:00:00,劍南路,0
2018-12-01 01:00:00,劍潭,0
2018-12-01 01:00:00,動物園,0
2018-12-01 01:00:00,北投,22
2018-12-01 01:00:00,北門,0
2018-12-01 01:00:00,南京三民,0
2018-12-01 01:00:00,南京復興,0
2018-12-01 01:00:00,南勢角,11
2018-12-01 01:00:00,南港,6
2018-12-01 01:00:00,南港展覽館,16
2018-12-01 01:00:00,南港軟體園區,0
2018-12-01 01:00:00,古亭,0
2018-12-01 01:00:00,台北101/世貿,0
2018-12-01 01:00:00,台北小巨蛋,0
2018-12-01 01:00:00,台北橋,0
2018-12-01 01:00:00,台北車站,0
2018-12-01 01:00:00,台大醫院,0
2018-12-01 01:00:00,台電大樓,0
2018-12-01 01:00:00,唭哩岸,0
2018-12-01 01:00:00,善導寺,0
2018-12-01 01:00:00,國父紀念館,0
2018-12-01 01:00:00,圓山,0
2018-12-01 01:00:00,土城,5
2018-12-01 01:00:00,士林,0
2018-12-01 01:00:00,大坪林,12
2018-12-01 01:00:00,大安,0
2018-12-01 01:00:00,大安森林公園,0
2018-12-01 01:00:00,大橋頭站,0
2018-12-01 01:00:00,大湖公園,2
2018-12-01 01:00:00,大直,0
2018-12-01 01:00:00,奇岩,3
2018-12-01 01:00:00,小南門,0
2018-12-01 01:00:00,小碧潭,0
2018-12-01 01:00:00,市政府,0
2018-12-01 01:00:00,府中,6
2018-12-01 01:00:00,後山埤,1
2018-12-01 01:00:00,徐匯中學,0
2018-12-01 01:00:00,復興崗,4
2018-12-01 01:00:00,忠孝復興,0
2018-12-01 01:00:00,忠孝敦化,0
2018-12-01 01:00:00,忠孝新生,0
2018-12-01 01:00:00,忠義,1
2018-12-01 01:00:00,文德,0
2018-12-01 01:00:00,新北投,0
2018-12-01 01:00:00,新埔,0
2018-12-01 01:00:00,新店,10
2018-12-01 01:00:00,新店區公所,10
2018-12-01 01:00:00,新莊,21
2018-12-01 01:00:00,昆陽,2
2018-12-01 01:00:00,明德,0
2018-12-01 01:00:00,景安,10
2018-12-01 01:00:00,景美,10
2018-12-01 01:00:00,木柵,0
2018-12-01 01:00:00,東湖,5
2018-12-01 01:00:00,東門,0
2018-12-01 01:00:00,松山,0
2018-12-01 01:00:00,松山機場,0
2018-12-01 01:00:00,松江南京,0
2018-12-01 01:00:00,板橋,1
2018-12-01 01:00:00,民權西路,0
2018-12-01 01:00:00,永安市場,18
2018-12-01 01:00:00,永寧,9
2018-12-01 01:00:00,永春,0
2018-12-01 01:00:00,江子翠,0
2018-12-01 01:00:00,海山,30
2018-12-01 01:00:00,淡水,124
2018-12-01 01:00:00,港墘,0
2018-12-01 01:00:00,石牌,0
2018-12-01 01:00:00,科技大樓,0
2018-12-01 01:00:00,竹圍,12
2018-12-01 01:00:00,紅樹林,12
2018-12-01 01:00:00,芝山,0
2018-12-01 01:00:00,菜寮,0
2018-12-01 01:00:00,萬芳社區,0
2018-12-01 01:00:00,萬芳醫院,0
2018-12-01 01:00:00,萬隆,1
2018-12-01 01:00:00,葫洲,4
2018-12-01 01:00:00,蘆洲,0
2018-12-01 01:00:00,行天宮,0
2018-12-01 01:00:00,西湖,0
2018-12-01 01:00:00,西門,0
2018-12-01 01:00:00,象山,0
2018-12-01 01:00:00,輔大,14
2018-12-01 01:00:00,辛亥,0
2018-12-01 01:00:00,迴龍,10
2018-12-01 01:00:00,關渡,11
2018-12-01 01:00:00,雙連,0
2018-12-01 01:00:00,頂埔,10
2018-12-01 01:00:00,頂溪,2
2018-12-01 01:00:00,頭前庄,0
2018-12-01 01:00:00,麟光,0
2018-12-01 01:00:00,龍山寺,0
2018-12-01 05:00:00,七張,0
2018-12-01 05:00:00,三和國中,0
2018-12-01 05:00:00,三民高中,0
2018-12-01 05:00:00,三重,0
2018-12-01 05:00:00,三重國小,0
2018-12-01 05:00:00,中山,0
2018-12-01 05:00:00,中山國中,0
2018-12-01 05:00:00,中山國小,0
2018-12-01 05:00:00,中正紀念堂,0
2018-12-01 05:00:00,丹鳳,0
2018-12-01 05:00:00,亞東醫院,0
2018-12-01 05:00:00,信義安和,0
2018-12-01 05:00:00,先嗇宮,0
2018-12-01 05:00:00,內湖,0
2018-12-01 05:00:00,公館,0
2018-12-01 05:00:00,六張犁,0
2018-12-01 05:00:00,劍南路,0
2018-12-01 05:00:00,劍潭,0
2018-12-01 05:00:00,動物園,0
2018-12-01 05:00:00,北投,0
2018-12-01 05:00:00,北門,0
2018-12-01 05:00:00,南京三民,2
2018-12-01 05:00:00,南京復興,0
2018-12-01 05:00:00,南勢角,0
2018-12-01 05:00:00,南港,0
2018-12-01 05:00:00,南港展覽館,0
2018-12-01 05:00:00,南港軟體園區,1
2018-12-01 05:00:00,古亭,0
2018-12-01 05:00:00,台北101/世貿,0
2018-12-01 05:00:00,台北小巨蛋,0
2018-12-01 05:00:00,台北橋,0
2018-12-01 05:00:00,台北車站,1
2018-12-01 05:00:00,台大醫院,0
2018-12-01 05:00:00,台電大樓,1
2018-12-01 05:00:00,唭哩岸,0
2018-12-01 05:00:00,善導寺,0
2018-12-01 05:00:00,國父紀念館,0
2018-12-01 05:00:00,圓山,1
2018-12-01 05:00:00,土城,0
2018-12-01 05:00:00,士林,2
2018-12-01 05:00:00,大坪林,0
2018-12-01 05:00:00,大安,0
2018-12-01 05:00:00,大安森林公園,0
2018-12-01 05:00:00,大橋頭站,0
2018-12-01 05:00:00,大湖公園,0
2018-12-01 05:00:00,大直,0
2018-12-01 05:00:00,奇岩,0
2018-12-01 05:00:00,小南門,0
2018-12-01 05:00:00,小碧潭,0
2018-12-01 05:00:00,市政府,0
2018-12-01 05:00:00,府中,0
2018-12-01 05:00:00,後山埤,1
2018-12-01 05:00:00,徐匯中學,0
2018-12-01 05:00:00,復興崗,0
2018-12-01 05:00:00,忠孝復興,0
2018-12-01 05:00:00,忠孝敦化,0
2018-12-01 05:00:00,忠孝新生,0
2018-12-01 05:00:00,忠義,0
2018-12-01 05:00:00,文德,0
2018-12-01 05:00:00,新北投,0
2018-12-01 05:00:00,新埔,0
2018-12-01 05:00:00,新店,1
2018-12-01 05:00:00,新店區公所,0
2018-12-01 05:00:00,新莊,0
2018-12-01 05:00:00,昆陽,0
2018-12-01 05:00:00,明德,0
2018-12-01 05:00:00,景安,0
2018-12-01 05:00:00,景美,2
2018-12-01 05:00:00,木柵,0
2018-12-01 05:00:00,東湖,0
2018-12-01 05:00:00,東門,0
2018-12-01 05:00:00,松山,0
2018-12-01 05:00:00,松山機場,0
2018-12-01 05:00:00,松江南京,0
2018-12-01 05:00:00,板橋,0
2018-12-01 05:00:00,民權西路,0
2018-12-01 05:00:00,永安市場,0
2018-12-01 05:00:00,永寧,0
2018-12-01 05:00:00,永春,0
2018-12-01 05:00:00,江子翠,1
2018-12-01 05:00:00,海山,0
2018-12-01 05:00:00,淡水,1
2018-12-01 05:00:00,港墘,0
2018-12-01 05:00:00,石牌,0
2018-12-01 05:00:00,科技大樓,0
2018-12-01 05:00:00,竹圍,0
2018-12-01 05:00:00,紅樹林,0
2018-12-01 05:00:00,芝山,2
2018-12-01 05:00:00,菜寮,1
2018-12-01 05:00:00,萬芳社區,0
2018-12-01 05:00:00,萬芳醫院,0
2018-12-01 05:00:00,萬隆,0
2018-12-01 05:00:00,葫洲,0
