sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act
0001,捷運市政府站(3號出口),180,125,信義區,20200927193443,25.0408578889,121.567904444,忠孝東路/松仁路(東南側),Xinyi Dist.,MRT Taipei City Hall Stataion(Exit 3)-2,The S.W. side of Road Zhongxiao East Road & Road Chung Yan.,55,1
0002,捷運國父紀念館站(2號出口),48,13,大安區,20200927193415,25.041254,121.55742,忠孝東路四段/光復南路口(西南側),Daan Dist.,MRT S.Y.S Memorial Hall Stataion(Exit 2.),"Sec,4. Zhongxiao E.Rd/GuangFu S. Rd",35,1
0003,台北市政府,40,10,信義區,20200927193424,25.0377972222,121.565169444,台北市政府東門(松智路) (鄰近信義商圈/台北探索館),Xinyi Dist.,Taipei City Hall,Taipei City Government Eastgate (Song Zhi Road),30,1
0004,市民廣場,60,31,信義區,20200927193425,25.0360361111,121.562325,市府路/松壽路(西北側)(鄰近台北101/台北世界貿易中心/台北探索館),Xinyi Dist.,Citizen Square,The N.W. side of Road Shifu & Road Song Shou.,26,1
0005,興雅國中,60,19,信義區,20200927193450,25.0365638889,121.5686639,松仁路/松仁路95巷(東南側)(鄰近信義商圈/台北信義威秀影城),Xinyi Dist.,Xingya Jr. High School,"The S.E. side of Road Songren & Ln. 95, Songren Rd..",40,1
0006,臺北南山廣場,80,15,信義區,20200927193432,25.034047,121.565973,松智路/松廉路(東北側) (鄰近台北101/信義商圈/台北信義威秀影城),Xinyi Dist.,NAN SHAN PLAZA,The N.E. side of Road Song Zhi & Road Song Lian.,65,1
0007,信義廣場(台北101),80,57,信義區,20200927193419,25.0330388889,121.565619444,松智路/信義路(東北側) (鄰近台北101),Xinyi Dist.,Xinyi Square(Taipei 101),The N.E. side of Road Song Zhi & Road Xinyi.,23,1
0008,世貿三館,60,24,信義區,20200927193416,25.0352138889,121.563688889,市府路/松壽路(東南側) (鄰近台北101/台北世界貿易中心/台北探索館),Xinyi Dist.,TWTC Exhibition Hall 3,The S.E. side of Road Shifu & Road Song Shou.,36,1
0009,松德站,40,12,信義區,20200927193434,25.031785, 121.57448,台北市信義區松德路300號,Xinyi Dist.,Songde,"No.300, Songde Rd.(32)",28,1
0010,台北市災害應變中心,54,29,信義區,20200927193434,25.0286611111,121.566116667,台北市信義區莊敬路391巷11弄2號,Xinyi Dist.,Emergency Operations Center of Taipei City,"No.2, Aly. 11, Ln. 391, Zhuangjing Rd.",24,1
